station_code,station_name,latitude,longitude,state,zone,is_junction,track_degree,opened_year,established_date,historical_details,daily_footfall,platform_count,peak_crowd_level,bias_correction_flag
MMR,MANMAD JN,20.249887,74.438305,MAHARASHTRA,CR,1,436,1876,1876-09-13,Established 1876 under CR Railway network expansion.,3796,1,NORMAL,JUNCTION_HUB
MTJ,MATHURA JN,27.480145,77.673117,All India,IR,1,436,2005,2005-08-12,Established 2005 under IR Railway network expansion.,17405,3,MODERATE,JUNCTION_HUB
BDI,BHADLI,21.023663,75.672912,MAHARASHTRA,CR,1,432,1902,1902-04-12,Established 1902 under CR Railway network expansion.,3477,2,NORMAL,JUNCTION_HUB
NYN,NAINI,25.393138,81.860042,All India,IR,1,432,1955,1955-06-22,Established 1955 under IR Railway network expansion.,17635,4,MODERATE,JUNCTION_HUB
TRW,TARSOD,21.025557,75.633215,All India,IR,1,432,1963,1963-02-02,Established 1963 under IR Railway network expansion.,3983,2,NORMAL,JUNCTION_HUB
BND,BHANDUP,19.142010,72.937235,MAHARASHTRA,CR,1,430,1907,1907-09-17,Established 1907 under CR Railway network expansion.,3532,1,NORMAL,JUNCTION_HUB
GC,GHATKOPAR,19.085985,72.908591,MAHARASHTRA,CR,1,430,1888,1888-07-27,Established 1888 under CR Railway network expansion.,2718,1,NORMAL,JUNCTION_HUB
KJMG,KANJUR MARG,19.128181,72.928041,All India,IR,1,430,2007,2007-10-18,Established 2007 under IR Railway network expansion.,4467,2,NORMAL,JUNCTION_HUB
KSB,KOSAMBA JN,21.464052,72.954598,All India,IR,1,430,1994,1994-09-01,Established 1994 under IR Railway network expansion.,3664,1,NORMAL,JUNCTION_HUB
LKO,LUCKNOW,26.830675,80.925291,All India,IR,1,430,1926,1926-03-21,"Lucknow Charbagh, magnificent Indo-Saracenic masterpiece designed by J.H. Horniman resembling a chessboard with minarets.",170000,9,HIGH,JUNCTION_HUB
MLND,MULUND,19.172355,72.956933,MAHARASHTRA,CR,1,430,1884,1884-12-20,Established 1884 under CR Railway network expansion.,4489,2,NORMAL,JUNCTION_HUB
NHU,NAHUR,19.154646,72.946683,SUBURBAN MAHARASHTRA,CR,1,430,1875,1875-08-12,Established 1875 under CR Railway network expansion.,17405,3,MODERATE,JUNCTION_HUB
TNA,THANE,19.185757,72.975417,MAHARASHTRA,CR,1,430,1867,1867-12-04,Established 1867 under CR Railway network expansion.,3697,2,NORMAL,JUNCTION_HUB
VK,VIKHROLI,19.111960,72.928312,MAHARASHTRA,CR,1,430,1911,1911-06-22,Established 1911 under CR Railway network expansion.,2971,2,NORMAL,JUNCTION_HUB
VVH,VIDYAVIHAR,19.079258,72.897181,MAHARASHTRA,CR,1,430,1884,1884-05-21,Established 1884 under CR Railway network expansion.,3884,1,NORMAL,JUNCTION_HUB
MYG,MIYAGAM KARJAN,22.050722,73.120353,All India,IR,1,429,2007,2007-10-14,Established 2007 under IR Railway network expansion.,3807,2,NORMAL,JUNCTION_HUB
AKV,ANKLESHWAR JN,21.623889,73.000633,All India,IR,1,428,1996,1996-11-03,Established 1996 under IR Railway network expansion.,3686,1,NORMAL,JUNCTION_HUB
GTX,GOTHANGAM,21.294043,72.880104,All India,IR,1,428,1953,1953-04-20,Established 1953 under IR Railway network expansion.,3873,2,NORMAL,JUNCTION_HUB
HAT,HATHURAN,21.501091,72.969512,All India,IR,1,428,1991,1991-06-26,Established 1991 under IR Railway network expansion.,54503,6,HIGH,JUNCTION_HUB
KDSD,KUDSAD,21.376820,72.916480,All India,IR,1,428,2004,2004-07-15,Established 2004 under IR Railway network expansion.,4434,1,NORMAL,JUNCTION_HUB
KIM,KIM,21.399697,72.926702,All India,IR,1,428,1995,1995-10-02,Established 1995 under IR Railway network expansion.,17175,2,MODERATE,JUNCTION_HUB
KSE,KOSAD,21.255892,72.865730,All India,IR,1,428,1997,1997-12-04,Established 1997 under IR Railway network expansion.,3697,2,NORMAL,JUNCTION_HUB
PAO,PANOLI,21.535197,72.978371,All India,IR,1,428,1994,1994-09-01,Established 1994 under IR Railway network expansion.,3664,1,NORMAL,JUNCTION_HUB
SYN,SAYAN,21.317203,72.890287,All India,IR,1,428,1960,1960-11-27,Established 1960 under IR Railway network expansion.,17750,3,MODERATE,JUNCTION_HUB
BINA,BINA JN,24.170974,78.183200,All India,IR,1,427,1992,1992-07-03,Established 1992 under IR Railway network expansion.,4302,1,NORMAL,JUNCTION_HUB
JHS,JHANSI JN,25.443585,78.552985,All India,IR,1,427,1999,1999-02-06,Established 1999 under IR Railway network expansion.,3719,2,NORMAL,JUNCTION_HUB
URN,UTRAN,21.232602,72.854796,All India,IR,1,427,1955,1955-06-22,Established 1955 under IR Railway network expansion.,17635,4,MODERATE,JUNCTION_HUB
BH,BHARUCH JN,21.706907,72.997689,All India,IR,1,426,1968,1968-07-27,Established 1968 under IR Railway network expansion.,2718,1,NORMAL,JUNCTION_HUB
CVJ,CHAVAJ,21.753134,73.010489,All India,IR,1,424,1997,1997-12-04,Established 1997 under IR Railway network expansion.,3697,2,NORMAL,JUNCTION_HUB
ITA,ITOLA,22.149889,73.156746,All India,IR,1,424,1992,1992-07-27,Established 1992 under IR Railway network expansion.,3642,1,NORMAL,JUNCTION_HUB
KCC,KRISHNA CANAL,16.477152,80.604553,All India,IR,1,424,1979,1979-06-14,Established 1979 under IR Railway network expansion.,3499,2,NORMAL,JUNCTION_HUB
KSPR,KASHIPURA SARAR,22.120086,73.145838,All India,IR,1,424,1970,1970-09-13,Established 1970 under IR Railway network expansion.,19360,4,MODERATE,JUNCTION_HUB
LKD,LAKODARA,21.991872,73.098994,All India,IR,1,424,1989,1989-04-24,Established 1989 under IR Railway network expansion.,3609,2,NORMAL,JUNCTION_HUB
MPR,MAKARPURA,22.232706,73.175422,All India,IR,1,424,2009,2009-12-16,Established 2009 under IR Railway network expansion.,3829,2,NORMAL,JUNCTION_HUB
NIU,NABIPUR,21.807541,73.030592,All India,IR,1,424,2006,2006-09-13,Established 2006 under IR Railway network expansion.,3796,1,NORMAL,JUNCTION_HUB
PLJ,PALEJ,21.921578,73.072387,All India,IR,1,424,2000,2000-03-07,Established 2000 under IR Railway network expansion.,17290,4,MODERATE,JUNCTION_HUB
VRE,VAREDIYA,21.858380,73.048979,All India,IR,1,424,2007,2007-10-14,Established 2007 under IR Railway network expansion.,3807,2,NORMAL,JUNCTION_HUB
VRM,VARNAMA,22.184274,73.169283,All India,IR,1,424,1955,1955-06-22,Established 1955 under IR Railway network expansion.,17635,4,MODERATE,JUNCTION_HUB
VS,VISHVAMITRI,22.283933,73.178656,All India,IR,1,424,1999,1999-02-02,Established 1999 under IR Railway network expansion.,3059,2,NORMAL,JUNCTION_HUB
GRP,GANGPUR,23.223525,87.928116,All India,IR,1,420,2003,2003-06-10,Established 2003 under IR Railway network expansion.,3763,2,NORMAL,JUNCTION_HUB
SKG,SAKTIGARH,23.205879,87.971782,All India,IR,1,420,1999,1999-02-06,Established 1999 under IR Railway network expansion.,3719,2,NORMAL,JUNCTION_HUB
NGP,NAGPUR,21.153567,79.089004,MAHARASHTRA,CR,1,411,1869,1869-02-06,Established 1869 under CR Railway network expansion.,3719,2,NORMAL,JUNCTION_HUB
GOY,GOVINDPURI,26.454423,80.313203,All India,IR,1,410,2009,2009-12-16,Established 2009 under IR Railway network expansion.,3829,2,NORMAL,JUNCTION_HUB
BMT,BEGAMPET,17.438874,78.458627,All India,IR,1,408,1997,1997-12-04,Established 1997 under IR Railway network expansion.,3697,2,NORMAL,JUNCTION_HUB
CSB,SHIVAJI BRIDGE,28.634101,77.226612,All India,IR,1,408,1986,1986-01-21,Established 1986 under IR Railway network expansion.,3576,1,NORMAL,JUNCTION_HUB
BTSR,BHUTESHWAR,27.501370,77.667840,All India,IR,1,406,1965,1965-04-08,Established 1965 under IR Railway network expansion.,19245,2,MODERATE,JUNCTION_HUB
MYGL,MIYAGAM KARJAN JUNCTION NG,22.050132,73.119763,All India,IR,1,405,1963,1963-02-06,Established 1963 under IR Railway network expansion.,4643,2,NORMAL,JUNCTION_HUB
TKJ,TILAK BRIDGE,28.627633,77.237995,All India,IR,1,401,2003,2003-06-10,Established 2003 under IR Railway network expansion.,3763,2,NORMAL,JUNCTION_HUB
AST,ASAOTI,28.250878,77.323569,All India,IR,1,400,2002,2002-05-09,Established 2002 under IR Railway network expansion.,3752,1,NORMAL,JUNCTION_HUB
BVH,BALLABGARH,28.340861,77.312776,All India,IR,1,400,1994,1994-09-01,Established 1994 under IR Railway network expansion.,3664,1,NORMAL,JUNCTION_HUB
FDB,FARIDABAD,28.411473,77.307348,All India,IR,1,400,1974,1974-01-09,Established 1974 under IR Railway network expansion.,53772,4,HIGH,JUNCTION_HUB
FDN,FARIDABAD NEW TOWN,28.376248,77.309368,All India,IR,1,400,1986,1986-01-21,Established 1986 under IR Railway network expansion.,3576,1,NORMAL,JUNCTION_HUB
OKA,OKHLA,28.559332,77.264825,All India,IR,1,400,1989,1989-04-24,Established 1989 under IR Railway network expansion.,3609,2,NORMAL,JUNCTION_HUB
TKD,TUGLAKABAD,28.511963,77.294046,All India,IR,1,400,1997,1997-12-04,Established 1997 under IR Railway network expansion.,3697,2,NORMAL,JUNCTION_HUB
PWL,PALWAL,28.151841,77.342232,All India,IR,1,398,1953,1953-04-20,Established 1953 under IR Railway network expansion.,3873,2,NORMAL,JUNCTION_HUB
STN,SITARAMPUR,23.723864,86.896472,All India,IR,1,397,1955,1955-06-22,Established 1955 under IR Railway network expansion.,17635,4,MODERATE,JUNCTION_HUB
HDL,HODAL,27.886147,77.388690,All India,IR,1,396,1986,1986-01-21,Established 1986 under IR Railway network expansion.,3576,1,NORMAL,JUNCTION_HUB
RDE,RUNDHI,28.067751,77.350991,All India,IR,1,396,1989,1989-04-24,Established 1989 under IR Railway network expansion.,3609,2,NORMAL,JUNCTION_HUB
SHLK,SHOLAKA,27.973644,77.360583,All India,IR,1,396,1956,1956-07-27,Established 1956 under IR Railway network expansion.,58158,4,HIGH,JUNCTION_HUB
VRBD,VRINDABAN ROAD,27.555461,77.622835,All India,IR,1,396,1952,1952-03-23,Established 1952 under IR Railway network expansion.,4522,1,NORMAL,JUNCTION_HUB
ASN,ASANSOL JN,23.691441,86.975152,All India,IR,1,395,1996,1996-11-03,Established 1996 under IR Railway network expansion.,3686,1,NORMAL,JUNCTION_HUB
KSV,KOSI KALAN,27.788551,77.445999,All India,IR,1,394,1954,1954-05-21,Established 1954 under IR Railway network expansion.,3884,1,NORMAL,JUNCTION_HUB
AJH,AJHAI,27.636150,77.558423,All India,IR,1,392,1981,1981-08-16,Established 1981 under IR Railway network expansion.,3521,2,NORMAL,JUNCTION_HUB
CHJ,CHATA,27.711992,77.502978,All India,IR,1,392,1983,1983-10-18,Established 1983 under IR Railway network expansion.,3543,2,NORMAL,JUNCTION_HUB
SEGM,SEVAGRAM,20.739076,78.619225,MAHARASHTRA,CR,1,392,1885,1885-01-21,Established 1885 under CR Railway network expansion.,18900,2,MODERATE,JUNCTION_HUB
TDL,TUNDLA JN,27.207747,78.233285,All India,IR,1,390,1998,1998-01-05,Established 1998 under IR Railway network expansion.,3708,1,NORMAL,JUNCTION_HUB
BBQ,BASIN BRIDGE JN,13.102361,80.271221,All India,IR,1,386,1983,1983-10-18,Established 1983 under IR Railway network expansion.,3543,2,NORMAL,JUNCTION_HUB
DWA,DAILWARA,24.780590,78.392945,All India,IR,1,386,1990,1990-05-25,Established 1990 under IR Railway network expansion.,17060,3,MODERATE,JUNCTION_HUB
BIM,BILIMORA JN,20.763319,72.970474,Gujarat,WR,1,384,1911,1911-01-21,Established 1911 under WR Railway network expansion.,3576,1,NORMAL,JUNCTION_HUB
LAR,LALITPUR,24.688222,78.395791,All India,IR,1,384,1993,1993-08-28,Established 1993 under IR Railway network expansion.,3653,2,NORMAL,JUNCTION_HUB
HBJ,HABIBGANJ,23.221979,77.439429,All India,IR,1,383,1982,1982-09-17,Established 1982 under IR Railway network expansion.,3532,1,NORMAL,JUNCTION_HUB
JHA,JAKHAURA,24.870821,78.400513,All India,IR,1,382,1981,1981-08-16,Established 1981 under IR Railway network expansion.,3521,2,NORMAL,JUNCTION_HUB
AGD,AGASOD,24.234023,78.216912,All India,IR,1,380,1974,1974-01-09,Established 1974 under IR Railway network expansion.,53772,4,HIGH,JUNCTION_HUB
BAB,BABINA,25.237832,78.451748,All India,IR,1,380,1967,1967-06-02,Established 1967 under IR Railway network expansion.,3367,2,NORMAL,JUNCTION_HUB
BAQ,GANJ BASODA,23.845347,77.944826,All India,IR,1,380,1982,1982-09-17,Established 1982 under IR Railway network expansion.,3532,1,NORMAL,JUNCTION_HUB
BET,BARETH,23.914947,77.999680,All India,IR,1,380,1989,1989-04-24,Established 1989 under IR Railway network expansion.,3609,2,NORMAL,JUNCTION_HUB
BHS,VIDISHA,23.522289,77.814836,All India,IR,1,380,1991,1991-06-26,Established 1991 under IR Railway network expansion.,54503,6,HIGH,JUNCTION_HUB
BJA,BIJROTHA,24.946940,78.421605,All India,IR,1,380,1975,1975-02-10,Established 1975 under IR Railway network expansion.,16715,3,MODERATE,JUNCTION_HUB
BJI,BIJAULI,25.376468,78.517746,All India,IR,1,380,1983,1983-10-18,Established 1983 under IR Railway network expansion.,3543,2,NORMAL,JUNCTION_HUB
BKA,BARKHERA,22.917359,77.649646,All India,IR,1,380,1976,1976-03-11,Established 1976 under IR Railway network expansion.,3466,1,NORMAL,JUNCTION_HUB
BNI,BUDNI,22.787114,77.681283,All India,IR,1,380,1987,1987-02-22,Established 1987 under IR Railway network expansion.,3587,2,NORMAL,JUNCTION_HUB
BPW,BURHPURA,25.211179,78.429550,All India,IR,1,380,2003,2003-06-10,Established 2003 under IR Railway network expansion.,3763,2,NORMAL,JUNCTION_HUB
BVB,BHADBHADAGHAT,23.375165,77.535282,All India,IR,1,380,1988,1988-03-23,Established 1988 under IR Railway network expansion.,3598,1,NORMAL,JUNCTION_HUB
BZY,BASAI,25.142923,78.394254,All India,IR,1,380,1955,1955-06-22,Established 1955 under IR Railway network expansion.,17635,4,MODERATE,JUNCTION_HUB
DUA,DHAURA,24.449650,78.321791,All India,IR,1,380,1988,1988-03-23,Established 1988 under IR Railway network expansion.,3598,1,NORMAL,JUNCTION_HUB
DWG,DEWANGANJ,23.429766,77.592867,All India,IR,1,380,1996,1996-11-03,Established 1996 under IR Railway network expansion.,3686,1,NORMAL,JUNCTION_HUB
GLG,GULABHGANJ,23.684375,77.912351,All India,IR,1,380,1988,1988-03-23,Established 1988 under IR Railway network expansion.,3598,1,NORMAL,JUNCTION_HUB
HBD,HOSHANGABAD,22.752740,77.715594,All India,IR,1,380,1976,1976-03-11,Established 1976 under IR Railway network expansion.,3466,1,NORMAL,JUNCTION_HUB
JLN,JAKHALAUN,24.547359,78.341911,All India,IR,1,380,1998,1998-01-05,Established 1998 under IR Railway network expansion.,3708,1,NORMAL,JUNCTION_HUB
JRO,JIRON,24.608534,78.361937,All India,IR,1,380,2005,2005-08-12,Established 2005 under IR Railway network expansion.,17405,3,MODERATE,JUNCTION_HUB
KAH,KALHAR,23.978071,78.057178,All India,IR,1,380,1982,1982-09-17,Established 1982 under IR Railway network expansion.,3532,1,NORMAL,JUNCTION_HUB
KHJ,KHAJRAHA,25.304158,78.478365,All India,IR,1,380,1991,1991-06-26,Established 1991 under IR Railway network expansion.,54503,6,HIGH,JUNCTION_HUB
KIKA,KURWAI KETHORA,24.117852,78.114978,All India,IR,1,380,1998,1998-01-09,Established 1998 under IR Railway network expansion.,4368,1,NORMAL,JUNCTION_HUB
KOA,KARONDA,24.330273,78.265477,All India,IR,1,380,1989,1989-04-24,Established 1989 under IR Railway network expansion.,3609,2,NORMAL,JUNCTION_HUB
MABA,MANDI BAMORA,24.054032,78.082437,All India,IR,1,380,1983,1983-10-22,Established 1983 under IR Railway network expansion.,4203,2,NORMAL,JUNCTION_HUB
MDDP,MANDI DIP,23.093747,77.511077,All India,IR,1,380,2003,2003-06-14,Established 2003 under IR Railway network expansion.,4423,2,NORMAL,JUNCTION_HUB
MSO,MISROD,23.168701,77.458046,All India,IR,1,380,2009,2009-12-16,Established 2009 under IR Railway network expansion.,3829,2,NORMAL,JUNCTION_HUB
MXS,MOHASA,24.378687,78.288900,All India,IR,1,380,1958,1958-09-25,Established 1958 under IR Railway network expansion.,3928,1,NORMAL,JUNCTION_HUB
MZX,MATATILA,25.085100,78.402840,All India,IR,1,380,1965,1965-04-04,Established 1965 under IR Railway network expansion.,55965,4,HIGH,JUNCTION_HUB
ODG,OBAIDULLA GANJ,22.994912,77.587299,All India,IR,1,380,1988,1988-03-23,Established 1988 under IR Railway network expansion.,3598,1,NORMAL,JUNCTION_HUB
PAI,PABAI,23.767491,77.931259,All India,IR,1,380,1988,1988-03-23,Established 1988 under IR Railway network expansion.,3598,1,NORMAL,JUNCTION_HUB
PRKD,POWERKHEDA,22.673479,77.747363,All India,IR,1,380,1955,1955-06-26,Established 1955 under IR Railway network expansion.,19015,4,MODERATE,JUNCTION_HUB
SCI,SANCHI,23.488096,77.735783,All India,IR,1,380,1993,1993-08-28,Established 1993 under IR Railway network expansion.,3653,2,NORMAL,JUNCTION_HUB
SKB,SHIKOHABAD JN,27.085686,78.574955,All India,IR,1,380,1994,1994-09-01,Established 1994 under IR Railway network expansion.,3664,1,NORMAL,JUNCTION_HUB
SMT,SALAMATPUR,23.461639,77.672750,All India,IR,1,380,1954,1954-05-21,Established 1954 under IR Railway network expansion.,3884,1,NORMAL,JUNCTION_HUB
SORI,SORAI,23.551699,77.848219,All India,IR,1,380,1967,1967-06-10,Established 1967 under IR Railway network expansion.,4687,2,NORMAL,JUNCTION_HUB
SUMR,SUMER,23.624616,77.879427,All India,IR,1,380,1977,1977-04-20,Established 1977 under IR Railway network expansion.,4797,2,NORMAL,JUNCTION_HUB
SUW,SUKHISEWANIYAN,23.340760,77.485966,All India,IR,1,380,1965,1965-04-04,Established 1965 under IR Railway network expansion.,55965,4,HIGH,JUNCTION_HUB
TBT,TALBAHAT,25.039255,78.414552,All India,IR,1,380,2004,2004-07-11,Established 2004 under IR Railway network expansion.,3774,1,NORMAL,JUNCTION_HUB
UMB,AMBALA CANT JN,30.338918,76.826966,All India,IR,1,380,1998,1998-01-05,Established 1998 under IR Railway network expansion.,3708,1,NORMAL,JUNCTION_HUB
ACL,ANCHELI,20.845167,72.944978,Gujarat,WR,1,378,1903,1903-05-13,Established 1903 under WR Railway network expansion.,3488,1,NORMAL,JUNCTION_HUB
AJNI,AJNI,21.126859,79.082520,MAHARASHTRA,CR,1,378,1875,1875-03-11,Established 1875 under CR Railway network expansion.,18670,4,MODERATE,JUNCTION_HUB
AML,AMALSAD,20.811373,72.956092,Gujarat,WR,1,378,1913,1913-03-23,Established 1913 under WR Railway network expansion.,3598,1,NORMAL,JUNCTION_HUB
BHET,BHESTAN,21.127883,72.861313,Gujarat,WR,1,378,1876,1876-04-12,Established 1876 under WR Railway network expansion.,4401,2,NORMAL,JUNCTION_HUB
BOK,BORKHEDI,20.860176,78.974448,MAHARASHTRA,CR,1,378,1860,1860-05-25,Established 1860 under CR Railway network expansion.,17060,3,MODERATE,JUNCTION_HUB
BTBR,BUTI BORI,20.918473,79.013629,MAHARASHTRA,CR,1,378,1883,1883-11-19,Established 1883 under CR Railway network expansion.,4478,1,NORMAL,JUNCTION_HUB
DGI,DUNGRI,20.687336,72.949119,Gujarat,WR,1,378,1907,1907-09-17,Established 1907 under WR Railway network expansion.,3532,1,NORMAL,JUNCTION_HUB
FZD,FIROZABAD,27.147415,78.386691,All India,IR,1,378,1998,1998-01-05,Established 1998 under IR Railway network expansion.,3708,1,NORMAL,JUNCTION_HUB
GMG,GUMGAON,20.993596,79.030314,MAHARASHTRA,CR,1,378,1914,1914-04-24,Established 1914 under CR Railway network expansion.,3609,2,NORMAL,JUNCTION_HUB
HNG,HIRANGAON,27.175703,78.314619,All India,IR,1,378,1991,1991-06-26,Established 1991 under IR Railway network expansion.,54503,6,HIGH,JUNCTION_HUB
JRS,JORAVASAN,20.729778,72.965760,Gujarat,WR,1,378,1879,1879-12-16,Established 1879 under WR Railway network expansion.,3829,2,NORMAL,JUNCTION_HUB
KRI,KHAPTI,21.049338,79.048839,MAHARASHTRA,CR,1,378,1870,1870-03-07,Established 1870 under CR Railway network expansion.,17290,4,MODERATE,JUNCTION_HUB
MNR,MAKKHANPUR,27.119485,78.471500,All India,IR,1,378,2007,2007-10-14,Established 2007 under IR Railway network expansion.,3807,2,NORMAL,JUNCTION_HUB
MRL,MAROLI,21.019949,72.889998,Gujarat,WR,1,378,1875,1875-08-12,Established 1875 under WR Railway network expansion.,17405,3,MODERATE,JUNCTION_HUB
NVS,NAVSARI,20.946851,72.914294,Gujarat,WR,1,378,1887,1887-08-24,Established 1887 under WR Railway network expansion.,3917,2,NORMAL,JUNCTION_HUB
SCH,SACHIN,21.077673,72.874083,Gujarat,WR,1,378,1862,1862-07-27,Established 1862 under WR Railway network expansion.,3642,1,NORMAL,JUNCTION_HUB
SLOR,SELOO ROAD,20.776650,78.714909,MAHARASHTRA,CR,1,378,1905,1905-09-13,Established 1905 under CR Railway network expansion.,19360,4,MODERATE,JUNCTION_HUB
SNI,SINDI,20.816446,78.883342,MAHARASHTRA,CR,1,378,1874,1874-07-11,Established 1874 under CR Railway network expansion.,3774,1,NORMAL,JUNCTION_HUB
TEL,TENALI JN,16.242409,80.640413,All India,IR,1,378,1999,1999-02-06,Established 1999 under IR Railway network expansion.,3719,2,NORMAL,JUNCTION_HUB
TGP,TULJAPUR,20.800701,78.808237,MAHARASHTRA,CR,1,378,1875,1875-08-12,Established 1875 under CR Railway network expansion.,17405,3,MODERATE,JUNCTION_HUB
VDH,VEDCHHA,20.874651,72.936415,Gujarat,WR,1,378,1866,1866-11-03,Established 1866 under WR Railway network expansion.,3686,1,NORMAL,JUNCTION_HUB
ADI,AHMEDABAD JN,23.025515,72.601516,All India,IR,1,377,1858,1858-01-01,"Ahmedabad Junction opened by the Bombay, Baroda and Central India Railway (BB&CI).",230000,12,CRITICAL_HIGH,JUNCTION_HUB
MB,MORADABAD,28.831621,78.765801,All India,IR,1,377,1973,1973-12-04,Established 1973 under IR Railway network expansion.,2773,2,NORMAL,JUNCTION_HUB
RKRI,RAO KHEDI,23.885645,77.981122,All India,IR,1,376,1962,1962-01-05,Established 1962 under IR Railway network expansion.,4632,1,NORMAL,JUNCTION_HUB
MIPM,MARRIPALEM,17.736300,83.252629,All India,IR,1,374,1957,1957-08-28,Established 1957 under IR Railway network expansion.,4577,2,NORMAL,JUNCTION_HUB
BCQ,BARACHAK,23.706726,86.928133,All India,IR,1,372,1984,1984-11-19,Established 1984 under IR Railway network expansion.,3554,1,NORMAL,JUNCTION_HUB
AAP,AMBIAPUR,26.515364,79.826878,All India,IR,1,370,1980,1980-07-15,Established 1980 under IR Railway network expansion.,16830,2,MODERATE,JUNCTION_HUB
BBL,BALRAI,26.920502,78.823710,All India,IR,1,370,1978,1978-05-13,Established 1978 under IR Railway network expansion.,3488,1,NORMAL,JUNCTION_HUB
BDN,BHADAN,26.979392,78.737495,All India,IR,1,370,1982,1982-09-17,Established 1982 under IR Railway network expansion.,3532,1,NORMAL,JUNCTION_HUB
BL,VALSAD,20.608559,72.933529,Gujarat,WR,1,370,1892,1892-11-03,Established 1892 under WR Railway network expansion.,2762,1,NORMAL,JUNCTION_HUB
BNT,BHARTHANA,26.750225,79.216361,All India,IR,1,370,1998,1998-01-05,Established 1998 under IR Railway network expansion.,3708,1,NORMAL,JUNCTION_HUB
BPU,BHAUPUR,26.468115,80.124290,All India,IR,1,370,2001,2001-04-08,Established 2001 under IR Railway network expansion.,3741,2,NORMAL,JUNCTION_HUB
EKL,EKDIL,26.766280,79.116455,All India,IR,1,370,1990,1990-05-25,Established 1990 under IR Railway network expansion.,17060,3,MODERATE,JUNCTION_HUB
